Ticker,Entry Time,Entry Price,Entry Method,Exit Time,Exit Price,Exit Type,Net,Return %,Option Net ($),Hold_Time
KNX,2023-01-26 15:30:00,56.65,reclaim,2023-01-27 14:30:00,59.66,take_profit,3.01,0.05313327449249772,531.3327449249772,0.9583333333333334
DECK,2023-02-01 14:45:00,70.92,reclaim,2023-02-02 19:45:00,69.69,stop,-1.23,-0.017343485617597354,-173.43485617597355,1.2083333333333333
BK,2023-02-03 15:00:00,50.02,reclaim,2023-02-09 14:30:00,52.19,take_profit,2.17,0.04338264694122329,433.8264694122329,5.979166666666667
VVV,2023-02-06 15:30:00,36.11,reclaim,2023-02-07 14:30:00,35.3,stop,-0.8,-0.02243145942952096,-224.31459429520962,0.9583333333333334
STT,2023-02-16 15:00:00,93.2,reclaim,2023-02-17 16:15:00,92.19,stop,-1.01,-0.010836909871244638,-108.36909871244637,1.0520833333333333
IBKR,2023-02-17 18:00:00,21.43,reclaim,2023-02-23 16:15:00,21.39,stop,-0.04,-0.0018665422305179646,-18.665422305179646,5.927083333333333
PCOR,2023-03-03 16:15:00,65.84,reclaim,2023-03-07 14:30:00,64.83,stop,-1.01,-0.015340218712029285,-153.40218712029287,3.9270833333333335
CDNS,2023-03-23 13:45:00,204.21,reclaim,2023-03-28 14:00:00,203.43,stop,-0.78,-0.0038195974731893845,-38.19597473189384,5.010416666666667
LIN,2023-04-26 16:00:00,364.69,reclaim,2023-04-27 14:45:00,361.57,stop,-3.12,-0.008555211275329766,-85.55211275329766,0.9479166666666666
GIS,2023-05-10 14:00:00,89.32,reclaim,2023-05-17 13:30:00,89.52,stop,0.2,0.0022391401701746805,22.391401701746805,6.979166666666667
GIS,2023-05-15 14:00:00,90.01,reclaim,2023-05-17 13:30:00,89.52,stop,-0.49,-0.005443839573380793,-54.43839573380793,1.9791666666666667
TMHC,2023-05-16 14:00:00,43.31,reclaim,2023-05-18 14:30:00,45.12,take_profit,1.8,0.041791734010621084,417.9173401062109,2.0208333333333335
ALK,2023-06-22 15:30:00,49.5,reclaim,2023-06-23 13:30:00,48.95,stop,-0.55,-0.011111111111111072,-111.11111111111072,0.9166666666666666
LOW,2023-06-22 15:00:00,214.21,reclaim,2023-06-27 14:15:00,223.14,take_profit,8.93,0.041688063115634,416.88063115634,4.96875
DASH,2023-06-23 14:15:00,72.14,reclaim,2023-06-26 14:15:00,75.05,take_profit,2.91,0.04033823121707791,403.38231217077913,3.0
DV,2023-06-23 15:30:00,37.15,reclaim,2023-06-30 13:30:00,38.8,take_profit,1.65,0.044414535666218,444.14535666218,6.916666666666667
LOW,2023-06-23 13:45:00,215.2,reclaim,2023-06-27 19:00:00,223.81,take_profit,8.61,0.040009293680297375,400.0929368029738,4.21875
EQT,2023-07-05 18:30:00,40.21,reclaim,2023-07-06 13:30:00,39.95,stop,-0.26,-0.006466053220591794,-64.66053220591795,0.7916666666666666
APH,2023-07-17 13:45:00,42.33,reclaim,2023-07-20 13:30:00,42.24,stop,-0.09,-0.002126151665485354,-21.26151665485354,2.9895833333333335
TTEK,2023-07-21 19:45:00,33.95,reclaim,2023-07-24 14:00:00,33.73,stop,-0.22,-0.006480117820324205,-64.80117820324205,2.7604166666666665
CMCSA,2023-07-26 18:30:00,42.92,reclaim,2023-07-27 13:30:00,46.24,take_profit,3.32,0.07735321528424977,773.5321528424977,0.7916666666666666
MAR,2023-07-26 17:00:00,193.05,reclaim,2023-07-31 13:45:00,201.62,take_profit,8.57,0.04439264439264434,443.9264439264434,4.864583333333333
TJX,2023-08-01 19:45:00,86.36,reclaim,2023-08-02 18:00:00,86.01,stop,-0.35,-0.004052802223251439,-40.528022232514395,0.9270833333333334
MAR,2023-08-03 15:30:00,199.34,reclaim,2023-08-09 13:30:00,207.97,take_profit,8.62,0.04329286645931574,432.92866459315735,5.916666666666667
RF,2023-08-08 13:45:00,20.4,reclaim,2023-08-14 13:30:00,20.32,stop,-0.07,-0.0039215686274508554,-39.215686274508556,5.989583333333333
PRGO,2023-08-16 19:45:00,38.37,reclaim,2023-08-17 18:45:00,38.18,stop,-0.19,-0.004951785248892282,-49.51785248892282,0.9583333333333334
DLR,2023-12-04 16:30:00,137.1,reclaim,2023-12-06 18:30:00,136.4,stop,-0.7,-0.0051057622173594774,-51.05762217359477,2.0833333333333335
EA,2023-12-06 17:00:00,137.76,reclaim,2023-12-07 16:15:00,136.16,stop,-1.6,-0.011614401858304202,-116.14401858304203,0.96875
PSX,2023-12-07 17:15:00,124.58,reclaim,2023-12-13 14:30:00,124.31,stop,-0.27,-0.0021672820677476334,-21.672820677476334,5.885416666666667
VTR,2023-12-11 16:00:00,46.38,reclaim,2023-12-13 20:00:00,48.28,take_profit,1.9,0.04096593359206557,409.65933592065574,2.1666666666666665
MCD,2023-12-14 18:30:00,288.91,reclaim,2023-12-15 14:45:00,287.23,stop,-1.68,-0.005814959676023745,-58.14959676023746,0.84375
PCAR,2023-12-14 20:00:00,96.06,reclaim,2023-12-18 19:15:00,95.34,stop,-0.72,-0.00749531542785753,-74.9531542785753,3.96875
V,2023-12-14 19:15:00,257.44,reclaim,2023-12-15 19:15:00,256.41,stop,-1.03,-0.004000932256059575,-40.00932256059575,1.0
CMG,2023-12-15 21:00:00,45.43,reclaim,2023-12-22 21:00:00,,max_hold_exit,,,,7.0
ROL,2024-01-02 20:15:00,43.23,reclaim,2024-01-03 14:30:00,42.96,stop,-0.27,-0.006245662734212232,-62.45662734212232,0.7604166666666666
CL,2024-01-11 16:15:00,80.14,reclaim,2024-01-16 19:15:00,80.1,stop,-0.04,-0.000499126528575089,-4.99126528575089,5.125
FIS,2024-01-11 15:15:00,61.83,reclaim,2024-01-16 14:30:00,61.21,stop,-0.62,-0.010027494743651943,-100.27494743651944,4.96875
CL,2024-01-16 17:30:00,80.36,reclaim,2024-01-16 19:15:00,80.1,stop,-0.26,-0.0032354405176705514,-32.35440517670551,0.07291666666666667
MDT,2024-01-17 18:15:00,85.94,reclaim,2024-01-23 15:00:00,85.7,stop,-0.24,-0.0027926460321153757,-27.926460321153755,5.864583333333333
ABT,2024-01-23 15:45:00,113.86,reclaim,2024-01-24 14:30:00,111.5,stop,-2.36,-0.020727208852977297,-207.27208852977296,0.9479166666666666
TEAM,2024-01-26 15:00:00,245.85,reclaim,2024-01-29 20:15:00,256.49,take_profit,10.64,0.04327842180191177,432.7842180191177,3.21875
AKAM,2024-02-05 15:45:00,123.52,reclaim,2024-02-09 16:15:00,128.5,take_profit,4.98,0.0403173575129534,403.173575129534,4.020833333333333
